"key","message","comment","context"
"Calendar per employee","员工日历",,
"Employee planned operations","员工计划操作",,
"Employee planning","员工计划",,
"Employee real operations","员工实际操作",,
"Employees","员工",,
"Enable timesheet on manuf order","在制造订单中启用工作时间表",,
"Generate timesheet line on manufacturing operation stop","在制造操作停止时生成工作时间表行",,
"Invoiced","已开票",,
"Manage business production","管理业务生产",,
"Manuf order","制造订单",,
"Manuf. Orders Selection","制造订单选择",,
"Manufacturing operation","制造操作",,
"Operation","操作",,
"Overview","概述",,
"Production orders","生产订单",,
"Project","项目",,
"Skill needed","所需技能",,
"Skills","技能",,
"Some working employees do not have their timesheet imputation on manuf order, therefore no timesheet line will be generated for those, do you want to continue anyway ?","一些在职员工没有在制造订单中进行工作时间表分配，因此不会为他们生成工作时间表行，您是否仍然要继续？",
"Some working employees have their time logging preference set to 'days' or it is not matching with their current timesheet, do you want to continue anyway ?","一些在职员工的时间记录首选项设置为“天”或与他们当前的工作时间表不匹配，您是否仍然要继续？",
"Some working users have no employee associated, therefore no timesheet line will be generated for those, do you want to continue anyway ?","一些在职用户没有关联的员工，因此不会为他们生成工作时间表行，您是否仍然要继续？",
"There are timesheet still waiting validation on this manuf order, do you want to continue anyway ?","此制造订单中仍有待验证的工作时间表，您是否仍然要继续？",
"There are timesheet still waiting validation on this manufacturing operation, do you want to continue anyway ?","此制造操作中仍有待验证的工作时间表，您是否仍然要继续？",
"Time logging preference for employee %s is not yet taken into account for duration computation","员工 %s 的时间记录首选项尚未纳入持续时间计算",
"Timesheet Line","工作时间表行",,
"Timesheet Lines","工作时间表行",,
"Timesheet imputed on","工作时间表分配到",,
"Timesheet imputed on manufacturing order","工作时间表分配到制造订单",,
"Timesheet imputed on project","工作时间表分配到项目",,
"Timesheet line","工作时间表行",,
"Timesheet lines","工作时间表行",,
"Timesheet on manuf order is not enabled.","在制造订单中未启用工作时间表。",
"To Invoice","待开票",,
"To invoice","待开票",,
"Warning, this manuforder is finished","警告，此制造订单已完成",
"Warning, this manuforder is from another company.","警告，此制造订单属于另一家公司。",
"Work center","工作中心",,
