key,message,language
+{0} more,+{0} mehr,de
API Documentation,API-Dokumentation,de
About,Über,de
Access Error,Zugriffsfehler,de
Action,Aktion,de
Action Category,Kategorie Aktion,de
Action Sub-Category,Aktion Unterkategorie,de
Action...,Aktion...,de
Active Users,Aktive Benutzer,de
Add,hinzufügen,de
Add Field,Feld hinzufügen,de
Add and new,Hinzufügen und neu,de
Add filter,Filter hinzufügen,de
Add followers,Anhänger hinzufügen,de
Add recipients to post your message.,"Fügen Sie Empfänger hinzu, um Ihre Nachricht zu veröffentlichen.",de
Add some tags,Einige Tags hinzufügen,de
Add subitem,Unterpunkt hinzufügen,de
Add to favorites...,Zu den Favoriten hinzufügen...,de
Advanced Search,Erweiterte Suche,de
Align left,Links ausrichten,de
Align right,Rechts ausrichten,de
All,Alle,de
All Day,Ganztägig,de
All Rights Reserved,Alle Rechte vorbehalten,de
Alt.Key,Alt.Key,de
An error has occurred{0}. Please contact your administrator.,Es ist ein Fehler aufgetreten{0}. Bitte kontaktieren Sie Ihren Administrator.,de
Apply,Bewerbung,de
Apply as default for all users,Als Standard für alle Benutzer anwenden,de
Archive,Archiv,de
Are you sure to unfollow this document?,"Sind Sie sicher, dass Sie dieses Dokument aufheben wollen?",de
Are you sure you want to delete the {0} selected documents?,"Sind Sie sicher, dass Sie die {0} ausgewählten Dokumente löschen wollen?",de
Are you sure you want to delete {0}?,"Sind Sie sicher, dass Sie {0} löschen wollen?",de
Are you sure you want to reset this view customization?,"Sind Sie sicher, dass Sie diese Ansichtsanpassung zurücksetzen möchten?",de
Attached to...,Angeschlossen an...,de
Attachment,Anlage,de
Attachments,Anhänge,de
Attributes,Attribute,de
Avg,Avg,de
Back,Zurück,de
Back to editor,Zurück zur Redaktion,de
Background color,Hintergrundfarbe,de
Blockquote,Blockquote,de
Bold (Ctrl+B),Fettdruck (Strg+B),de
Call,Rufen Sie  an.,de
Cancel,Abbrechen,de
Cancelled,Abgebrochen,de
Center,Zentrum,de
Change password,Passwort ändern,de
Change your password,Ändern Sie Ihr Passwort,de
Clear,Klar,de
Close,Schließen Sie,de
Close All,Alle schließen,de
Close Others,Andere schließen,de
Code,Code,de
Collapse All,Alle einklappen,de
Columns,Rubriken,de
Comments,Kommentare,de
Confirm new password,Bestätigen Sie das neue Passwort,de
Copied,Kopiert,de
Copy to clipboard,In die Zwischenablage kopieren,de
Count,Zählen Sie,de
Create,erstellen.,de
Create document,Dokument erstellen,de
Create folder,Ordner erstellen,de
Create spreadsheet,Tabellenkalkulation erstellen,de
Create...,Erstellen...,de
Created,Erstellt,de
Created By,Erstellt von,de
Created On,Erstellt am,de
Ctrl.Key,Ctrl.Key,de
Current changes will be lost. Do you really want to proceed?,Die aktuellen Änderungen gehen verloren. Wollen Sie wirklich fortfahren?,de
Current changes will be saved. Do you want to proceed?,Die aktuellen Änderungen werden gespeichert. Möchten Sie fortfahren?,de
Current password,Aktuelles Passwort,de
Custom ({0}),Benutzerdefiniert ({0}),de
Customize...,Anpassen...,de
DMS.Home,DMS.Home,de
Day,Tag,de
Days,Tage,de
Delete,Löschen,de
Delete...,Löschen...,de
Delete.Key,Delete.Key,de
Details,Einzelheiten,de
Details...,Details...,de
Directory,Verzeichnis,de
Display process,Prozess anzeigen,de
Do you really want to archive the selected record(s)?,Möchten Sie den/die ausgewählten Datensatz/e wirklich archivieren?,de
Do you really want to archive the selected record?,Möchten Sie den ausgewählten Datensatz wirklich archivieren?,de
Do you really want to delete the selected record(s)?,Möchten Sie den/die ausgewählten Datensatz/e wirklich löschen?,de
Do you really want to delete the selected record?,Möchten Sie den ausgewählten Datensatz wirklich löschen?,de
Do you really want to delete the selected task?,Möchten Sie die ausgewählte Aufgabe wirklich löschen?,de
Do you really want to unarchive the selected record(s)?,Möchten Sie die Archivierung der ausgewählten Datensätze wirklich aufheben?,de
Do you really want to unarchive the selected record?,Möchten Sie die Archivierung des ausgewählten Datensatzes wirklich aufheben?,de
Do you really want to update all {0} record(s)?,Wollen Sie wirklich alle {0} Datensätze aktualisieren?,de
Document,Dokument,de
Documentation,Dokumentation,de
Domain,Bereich,de
Download,Herunterladen,de
Downloading file…,Herunterladen der Datei...,de
Downloading {0}…,Herunterladen von {0}...,de
Drop here,Hier fallen lassen,de
Drop your files to start upload.,"Legen Sie Ihre Dateien ab, um den Upload zu starten.",de
Duplicate,Duplizieren Sie,de
Edit,bearbeiten,de
Either select or create a record.,Wählen Sie entweder einen Datensatz aus oder erstellen Sie einen.,de
Email,E-Mail,de
Email address,E-Mail Adresse,de
Enum type,Enum-Typ,de
Environment,Umwelt,de
Error,Fehler,de
Error code :,Fehlercode :,de
Expand All,Alle erweitern,de
Export,Exportieren,de
Export full,Vollständig exportieren,de
Failed,Gescheitert,de
Failed to parse the given JSON theme : incorrect syntax was encountered.,Das angegebene JSON-Theme konnte nicht geparst werden: Es wurde eine falsche Syntax festgestellt.,de
False,Falsch,de
Favorite,Favorit,de
Field name,Name des Feldes,de
Field type,Feldtyp,de
File,Datei,de
File does not exist.,Die Datei existiert nicht.,de
File upload,Hochladen von Dateien,de
File {0} does not exist.,Die Datei {0} existiert nicht.,de
Filter,Filter,de
Filters,Filter,de
Filters ({0}),Filter ({0}),de
Fixed line,Festnetz,de
Fixed line or mobile,Festnetz oder Mobilfunk,de
Folder,Mappe,de
Followers,Follower,de
Font,Schriftart,de
Font color,Schriftfarbe,de
Font size,Schriftgröße,de
Forgot password?,Passwort vergessen?,de
Formatted,Formatiert,de
Free Memory,Freier Speicher,de
Go,Weiter,de
Go back to sign in page,Zurück zur Anmeldeseite gehen,de
Grid requires at least one field.,Grid erfordert mindestens ein Feld.,de
