"key","message","comment","context"
"${fullName} plan. st. move","${fullName}计划移库",,
"${fullName} real st. move","${fullName}实际移库",,
"%) on the WAP of","% 的变化) 在平均采购价上",,
"%s Reverse stock move (From %s)","%s反向移库(从%s)",,
"<><Badge bg=""warning"">Warning : Delivery address is missing.</Badge></>","<><Badge bg=""warning"">警告：缺少交货地址</Badge></>",,
"<B>%s or %s</B> not found","<B>%s或%s</B>未找到",,
"A cancel reason must be selected","必须选择一个取消原因。",,
"A partial stock move has been generated (%s)","已生成部分移库(%s)",,
"ABC analysis","ABC 分析",,
"AbcAnalysis.stockLocation","库存位置：",,
"Account selection to carrier","选择运输商的账户",,
"Accounting family","会计科目",,
"Accounting value","会计价值",,
"Action","操作",,
"Actions","操作",,
"Activate bar code generation for stock location","为库存位置激活条码生成",,
"Activate bar code generation for tracking number","为跟踪号激活条码生成",,
"Add","添加",,
"Address","地址",,
"Alert","警报",,
"All storable products used in DEB must have net mass and mass unit information for customs.","所有在 DEB 中使用的库存产品必须具有净质量和质量单位信息以供海关使用。",,
"Allocate","分配",,
"Allocate all","全部分配",,
"Allocations of costs","成本分配",,
"Allows to add every product from the common stock location","允许从公共库存位置添加所有产品",,
"An error occurred while importing the file data, product not found with code :","在导入文件数据时出错，未找到具有代码的产品：",,
"An error occurred while importing the file data, there are multiple products with code :","在导入文件数据时出错，存在多个具有相同代码的产品：",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","在导入文件数据时出错。请联系您的应用程序管理员检查跟踪日志。",,
"An incoming partial stock move has been generated (%s)","已生成部分入库移动 (%s)",,
"An outgoing partial stock move has been generated (%s)","已生成部分出库移动 (%s)",,
"App","应用",,
"App base","基础应用",,
"App stock","库存应用",,
"Archived","已归档",,
"Are you sure you want to change status to  ""Collected "" ?","您确定要将状态更改为 ""已提取"" ？",,
"Are you sure you want to go back to provision ?","您确定要返回到待处理状态吗？",,
"Are you sure you want to realize this stock move?","您确定要实现这个移库吗？",,
"Are you sure you want to validate the carrier?","您确定要验证运输商吗？",,
"Arrival product qty","到达产品数量",,
"Arrivals","到达",,
"Arrivals History","到达历史",,
"Auto product tracking Nbr. order","生产时自动选择跟踪号",,
"Auto sale tracking Nbr. order","销售时自动选择跟踪号",,
"Auto select product tracking Nbr.","生产时自动选择跟踪号",,
"Auto select sale tracking Nbr.","销售时自动选择跟踪号",,
"Av. for product","产品可用量",,
"Availability","可用性",,
"Availability request","可用性请求",,
"Available","可用",,
"Available qty","可用数量",,
"Available qty for product","产品可用数量",,
"Available status","可用状态",,
"Average","平均",,
"Average Price","平均价格",,
"Avg outgoing quantity on 12 past months (One-off sale excluded)","过去12个月平均出库数量（不包括一次性销售）",,
"Back to provision","返回待处理状态",,
"Backorder","未交货订单",,
"Backorder Id","未交货订单ID",,
"Backorder Stock Move","未交货移库",,
"Bad stock move type","错误的移库类型。",,
"Barcode","条码",,
"Barcode Type","条码类型",,
"Barter","以物易物",,
"Batchs","批次",,
"Both source location address and delivery (to) address are required to define the delivery itinerary","定义交货路线需要源位置地址和交货地址",,
"Buyer","买家",,
"Buyer/Seller","买家/卖家",,
"CSV",,,
"Calculate","计算",,
"Can only be collected if validated","只有在验证后才能提取。",,
"Can only be validated if provisioned","只有在待处理后才能验证。",,
"Can only cancel a planned or realized stock move.","只能取消计划或已实现的移库。",,
"Can only cancel a validated inventory.","只能取消已验证的库存。",,
"Can only complete a started inventory.","只能完成已开始的库存。",,
"Can only plan a draft inventory.","只能计划草稿库存。",,
"Can only plan a drafted stock move.","只能计划草稿移库。",,
"Can only return to draft if cancelled.","只有在取消后才能返回到草稿状态。",,
"Can only return to provision if was validated or collected","只有在已验证或已提取的情况下才能返回到待处理状态",,
"Can only start a draft inventory.","只能开始草稿库存。",,
"Can only validate a drafted stock correction.","只能验证草稿库存修正。",,
"Can't delete a line linked to a realized stock move line.","无法删除与已实现移库行关联的行",,
"Can't delete a planned stock move","无法删除计划中的移库",,
"Can't delete a realized stock move","无法删除已实现的移库",,
"Can't realize this stock move because of the ongoing inventory %s.","由于正在进行的库存%s，无法实现此移库。",,
"Cancel","取消",,
"Cancel picking","取消拣货",,
"Cancel reason","取消原因",,
"Cancel reservation","取消预留",,
"Cancel storage","取消存储",,
"Cancelation","取消",,
"Canceled","已取消",,
"Cancellation","取消",,
"Cancellation confirmation","取消确认",,
"Cancelled Arrivals","已取消的到达",,
"Cannot go back to draft status.","无法返回到草稿状态",,
"Cannot realize a stock move that is not planned.","无法实现未计划的移库。",,
"Cannot validate an inventory that is not completed.","无法验证未完成的库存。",,
"Carriage (Sea/Air) to port of import","海运/空运到进口港口",,
"Carriage to place of destination","运输到目的地",,
"Carriage to port of export","运输到出口港口",,
"Carrier","运输商",,
"Carrier validated","运输商已验证",,
"Cart contents","购物车内容",,
"Cart stock location content","购物车库存位置内容",,
"Certificate of conformity","合格证",,
"Certificate of conformity title","合格证标题",,
"Change allocated qty","更改分配数量",,
"Check Duplicate","检查重复",,
"Check expiration date at stock move realization","在移库实现时检查过期日期",,
"Choose a template","选择一个模板",,
"Code","代码",,
"Collected","已提取",,
"Collection date","提取日期",,
"Comment to display on picking order","在拣货单上显示的评论",,
"Comment to display on stock move","在移库上显示的评论",,
"Comments","评论",,
"Comments updated;","评论已更新。",,
"Commercial regularization resulting in value increase","商业调整导致价值增加",,
"Commercial regularization resulting in value reduction","商业调整导致价值减少",,
"Common destination location","公共目的地位置",,
"Common source location","公共源位置",,
"Company","公司",,
"Company Unit price W.T.","公司不含税单价",,
"Company account","公司账户",,
"Company address is empty.","公司地址为空",,
"Company cannot be null.","公司不能为空。",,
"Company missing for stock location %s","库存位置%s缺少公司",,
"Complete","完成",,
"Completed","已完成",,
"Compliant","符合",,
"Compliant arrival product qty","符合的到达产品数量",,
"Computation priority","计算优先级",,
"Configuration","配置",,
"Configuration is missing in stock configuration to see financial data","库存配置中缺少配置以查看财务数据",,
"Confirm","确认",,
"Confirm cancellation","确认取消",,
"Conformity","符合性",,
"Conformity Certificates","合格证",,
"Conformity certificate","合格证",,
"Conformity certificate template","合格证模板",,
"ConformityCertificate.certificateNumber","证书编号",,
"ConformityCertificate.customerName","客户名称",,
"ConformityCertificate.designation","描述",,
"ConformityCertificate.externalReference","客户参考",,
"ConformityCertificate.function","职能",,
"ConformityCertificate.lotNoRef","批次号/参考",,
"ConformityCertificate.name","名称",,
"ConformityCertificate.numberAndDateDelivery","交货编号和日期",,
"ConformityCertificate.orderDate","订单日期",,
"ConformityCertificate.orderNumber","订单编号",,
"ConformityCertificate.partNumber","部件编号",,
"ConformityCertificate.qtyUnit","数量/单位",,
"ConformityCertificate.quantity","数量",,
"ConformityCertificate.sequence","序号",,
"ConformityCertificate.signature","签名",,
"ConformityCertificate.stockMoveLineRowNum","行号",,
"Consignments by post","邮寄发货",,
"Control on Receipt","收货控制",,
"Control stock rules are activated by supply chain batch.","库存控制规则由供应链批处理激活。",,
"Correction Reason","修正原因",,
"Cost price","成本价",,
"Country","国家",,
"Country of origin","原产国",,
"Create inventory","创建库存",,
"Create new tracking numbers","创建新的跟踪号",,
"Created by","创建人",,
"Created on","创建日期",,
"Current","当前",,
"Current Qty","当前数量",,
"Current Quantity","当前数量",,
"Current qty","当前数量",,
"Current quantity problem","当前数量问题",,
"Cust. Shipment to prepare","待准备的客户发货",,
"Customer account","客户账户",,
"Customer account number","客户账户号",,
"Customer account number to carrier","客户账户号给运输商",,
"Customer account numbers to carriers","客户账户号给运输商",,
"Customer average delivery delay","客户平均交货时间",,
"Customer deliveries","客户发货",,
"Customer deliveries by country","按国家的客户发货",,
"Customer deliveries filters","客户发货过滤器",,
"Customer deliveries statistics","客户发货统计",,
"Customer order ref.","客户订单参考",,
"Customer returns","客户退货",,
"Customer virtual stock location","客户虚拟库存位置",,
"Customs","海关",,
"Customs code","海关代码",,
"Customs code nomenclature","海关商品分类",,
"Customs code nomenclature:all","所有海关商品分类",,
"Cut off move generated","生成了截止移动",,
"Dashboard","仪表板",,
"Dashlet.Moves","移动",,
"Data is null or empty","数据为空或为空",,
"Date","日期",,
"Date and time","日期和时间",,
"Date t","日期 t",,
"Dates","日期",,
"Days","天",,
"Deallocate","取消分配",,
"Deallocate all","全部取消分配",,
"Declaration of exchanges for %s is not supported.","%s 的交换声明不受支持。",,
"Default external stock location","默认外部库存位置",,
"Default from stock location for sales and to stock location for purchases","销售的默认来源库存位置和采购的默认目标库存位置。",,
"Default signatory user","默认签字人",,
"Default stock location","默认库存位置",,
"Default to stock location for sales and from stock location for purchases","销售的默认目标库存位置和采购的默认来源库存位置。",,
"Default unit","默认单位",,
"Defense or intergovernmental program","国防或政府间项目",,
"Define ideal Qty","定义理想数量",,
"Define max Qty","定义最大数量",,
"Delay","延迟",,
"Delayed invoicing","延迟开票",,
"Deliver to customer","交付给客户",,
"Deliver to customer is not set.","交付给客户的设置未填写。",,
"Deliveries","交付",,
"Deliveries Cancelled","已取消的交付",,
"Deliveries Details","交付详情",,
"Deliveries History","交付历史",,
"Deliveries to prepare","待准备的交付",,
"Delivery delay (days)","交付延迟（天）",,
"Delivery for trial sale","试销交付",,
"Delivery number","交付编号",,
"Delivery stock move","客户交付",,
"Deported stock location","库存已转移到",,
"Description","描述",,
"Destination location","目标位置",,
"Detail","详情",,
"Detail line(s) not inside a parcel/pallet","详情行不在任何包裹/托盘内",,
"Detailed stock","详细库存",,
"Details","库存详细信息",,
"Details of the tracking number's availables","可用跟踪号的详情",,
"Details of the tracking number's unavailables","不可用跟踪号的详情",,
"Details stock location lines","库存位置中的产品（非汇总视图）",,
"Dimension 0","尺寸 0",,
"Dimension 1","尺寸 1",,
"Dimension 2","尺寸 2",,
"Dimension 3","尺寸 3",,
"Dimensional","尺寸",,
"Dimensions","尺寸",,
"Dimensions (cm)","尺寸 (cm)",,
"Dimensions and masses","尺寸和重量",,
"Dimensions title","尺寸标题",,
"Display accounting value in location financial data printing","在打印位置财务数据时显示会计价值",,
"Display available tracking numbers","显示可用跟踪号",,
"Display average price in printing","在打印时显示平均价格",,
"Display barcode on Picking printing","在打印拣货单时显示条码",,
"Display customer code on picking printing","在打印拣货单时显示客户代码",,
"Display external ref. on certificate of conformity printing","在打印合格证时显示外部参考",,
"Display line details on printing","在打印时显示行详情",,
"Display order reference and order date","显示订单参考和订单日期",,
"Display partner sequence on printing","在打印时显示合作伙伴序列",,
"Display price on printing","在打印时显示价格",,
"Display product code on printing","在打印时显示产品代码",,
"Display purchase value in location financial data printing","在打印位置财务数据时显示采购价值",,
"Display sale value in location financial data printing","在打印位置财务数据时显示销售价值",,
"Display tracking number details on Picking printing","在打印拣货单时显示跟踪号详情",,
"Display tracking number details on certificate of conformity printing","在打印合格证时显示跟踪号详情",,
"Do you want to allocate all the products ?","您想分配所有产品吗？",,
"Do you want to generate backorder for not delivered quantities?","您想为未交付的数量生成未交货订单吗？",,
"Do you want to generate backorder for not received quantities?","您想为未收到的数量生成未交货订单吗？",,
"Do you want to proceed?","您想继续吗？",,
"Does not include quantities from sub stock locations","不包括来自子库存位置的数量。",,
"Draft","草稿",,
"Draft move","草稿移动",,
"Economic area","经济区域",,
"Electronic signature","电子签名",,
"Email sent","电子邮件已发送",,
"Enable incoterm","启用 Incoterm",,
"Enable product description copy","启用产品描述复制",,
"Enable site management for stock","启用库存站点管理",,
"End date","结束日期",,
"Error: %s and %s fields are required and can not be null","错误：%s和%s字段是必需的且不能为空",,
"Error: %s field is required and can not be null","错误：%s字段是必需的且不能为空",,
"Estimated Date","预计日期",,
"Estimated date","预计日期",,
"Excl. out of stock products","排除缺货产品",,
"Exonerated shipment and transfer","免税运输和转移",,
"Expected BigDecimal as result during the computation of field %s, please fix the corresponding formula.","在计算字段%s时，预期结果为 BigDecimal，请修复相应的公式。",,
"Expected Qty","预期数量",,
"Expected/Future Quantity","预期/未来数量",,
"Expired product(s): %s","已过期产品：%s",,
"Export","导出",,
"Export customs declaration","出口海关申报",,
"External","外部",,
"External delivery comment","外部交付备注",,
"FIFO","先进先出",,
"Facturation ultérieure","后期开票",,
"Feature currently not available with Open Street Maps.","当前功能不支持 Open Street Maps",,
"Field","字段",,
"Field's formula","字段公式",,
"Fields formula","字段公式",,
"Fields linked to the shipment are differents, the value of the oldest will be kept.","与运输相关的字段不同，将保留最旧的值。",,
"File %s successfully imported.","文件%s导入成功",,
"File (CSV)","文件 (CSV)",,
"File Format","文件格式",,
"Fill in products from movements","从移动中填写产品",,
"Fill inventory","填写库存",,
"Fill inventory with","用...填写库存",,
"Filter on available products","过滤可用产品",,
"Filters","过滤器",,
"Final product density","最终产品密度",,
"Financial leasing","财务租赁",,
"Firm purchase or sale","固定采购或销售",,
"Fixed transport installations","固定运输设施",,
"Forecasted Stock","预测库存",,
"Formula","公式",,
"Forwarder","货运代理",,
"Freight Carrier","承运人",,
"Freight carrier mode","承运人模式",,
"Freight carrier modes","承运人模式",,
"From","从",,
"From Date","起始日期",,
"From address","起始地址",,
"From date","起始日期",,
"From rack","从货柜",,
"From stock location","来源库存位置",,
"Full name","全名",,
"Fullname","全名",,
"Fully spread over logistical forms","完全分布在物流表单上",,
"Future","未来",,
"Future Qty","未来数量",,
"Future qty","未来数量",,
"Gap","差距",,
"Gap value","差距值",,
"General","常规",,
"General Stock Details","库存常规详情",,
"Generate a new stock move","生成新的移库",,
"Generate credit note","生成信用笔记",,
"Generate invoice","生成发票",,
"Generate new production auto tracking Nbr.","生成新的生产自动跟踪号",,
"Generate new purchase auto tracking Nbr.","生成新的采购自动跟踪号",,
"Generate new sale auto tracking Nbr.","生成新的销售自动跟踪号",,
"Generate picked products","生成已拣选的产品",,
"Generate reversion","生成退货单",,
"Generate stock configurations","生成库存配置",,
"Gross Mass","总质量",,
"Gross mass","总质量",,
"Group products on printings","在打印时分组产品",,
"Header","页眉",,
"Historical Period","历史期间",,
"ISPM standard required","需要 ISPM 标准",,
"Ideal Qty","理想数量",,
"Import customs clearance","进口海关清关",,
"Import duties and taxes","进口关税和税款",,
"Impossible to create a picked product for product %s, no stock found for company %s","无法为产品%s创建已拣选的产品，公司%s未找到库存",,
"In progress","进行中",,
"Incl. obsolete products","包括过时产品",,
"Incl. sub location stock","包括子位置库存",,
"Include out of stocks products","包括缺货产品",,
"Include virtual sub location","包括虚拟子位置",,
"Incoming amount","入库金额",,
"Incoming move","入库移动",,
"Incoming move information","入库移动信息",,
"Incoming move lines","入库移动行",,
"Incoming quantity","入库数量",,
"Incorrect product for stock correction","库存修正中产品不正确",,
"Incorrect product in inventory line","库存行中产品不正确",,
"Incoterm","Incoterm",,
"Incoterm Code","Incoterm 代码",,
"Incoterm Name","Incoterm 名称",,
"Incoterms","Incoterms",,
"Information","信息",,
"Insurance","运输保险",,
"Internal","内部",,
"Internal Stock Move filters","内部移库过滤器",,
"Internal Stock Moves","内部移库",,
"Internal delivery comment","内部交付备注",,
"Internal move","内部移动",,
"Internal move information","内部移动信息",,
"Internal move lines","内部移动行",,
"Internal number","<span>内部编号</span>",,
"Internal stock move","内部移库",,
"Intracommunity acquisition taxable in france","在法国征税的欧盟内收购",,
"Invalid dimensions on packing line No. %d","包装行%d的尺寸无效",,
"Invalid field dimensions","字段尺寸无效",,
"Inventories","库存",,
"Inventories History","库存历史",,
"Inventories filters","库存过滤器",,
"Inventory","库存",,
"Inventory Calendar","库存日历",,
"Inventory N°","库存编号",,
"Inventory Title","库存标题",,
"Inventory line","库存行",,
"Inventory line successfully updated","库存行已成功更新。",,
"Inventory lines","库存行",,
"Inventory successfully updated","库存已成功更新。",,
"Inventory template","库存模板",,
"Inventory valuation type","库存估价类型",,
"Inventory virtual stock location","库存虚拟位置",,
"Inventory's lines' list has been filled.","库存行列表已填写。",,
"Inventory.barcode","条码",,
"Inventory.category","类别",,
"Inventory.code","代码",,
"Inventory.company","公司",,
"Inventory.createdOn","创建日期",,
"Inventory.date","日期",,
"Inventory.description","描述",,
"Inventory.fromRack","从",,
"Inventory.lastInventoryDate","上次库存日期",,
"Inventory.plannedEndDateT","计划结束日期",,
"Inventory.plannedStartDateT","计划开始日期",,
"Inventory.product","产品",,
"Inventory.productCategory","产品类别",,
"Inventory.productFamily","会计科目",,
"Inventory.rack","货柜",,
"Inventory.realQty","实际数量",,
"Inventory.stockLocation","库存位置",,
"Inventory.title","库存",,
"Inventory.toRack","到",,
"Inventory.trackingNumber","跟踪号",,
"Inventory.unit","假设数量",,
"Invoiced","已开票",,
"Is ISPM15 required","是否需要 ISPM15",,
"Is avg price changed","平均价格是否更改",,
"Is certificate of conformity required","是否需要合格证",,
"Is certificate of conformity signed","合格证是否已签名",,
"Is real qty modified by user","实际数量是否由用户修改",,
"Is reversion","是否为退货单",,
"LIFO","后进先出",,
"Label","标签",,
"Last Future Stock Move","上次未来移库",,
"Last Inventory date","上次库存日期",,
"Last inventory","上次库存",,
"Last inventory date","上次库存日期",,
"Last inventory real qty","上次库存实际数量",,
"Late Deliveries","逾期交付",,
"Late customer deliveries","客户逾期交付",,
"Late supplier arrivals","供应商逾期到货",,
"Line length too big","行长度太大",,
"Line successfully added to stock move with id %s","行已成功添加到ID为%s的移库中。",,
"Line successfully split.","行已成功拆分。",,
"Line successfully updated.","行已成功更新。",,
"Lines","行",,
"Lines created successfully","行已成功创建",,
"Links","链接",,
"Loading on truck in port of import","在进口港口装货到卡车",,
"Loading on vessel/airplane in port of export","在出口港口装货到船/飞机",,
"Location Content","位置内容",,
"Location Lines","位置行",,
"Location content","位置内容",,
"Location content details","位置内容详情",,
"Location financial data","位置财务数据",,
"Logistical form","物流表单",,
"Logistical form filters","物流表单过滤器",,
"Logistical form lines","物流表单行",,
"Logistical forms","物流表单",,
"Manage backorder","管理未交货订单",,
"Manage backorder?","管理未交货订单？",,
"Manage production tracking Nbr.","管理生产跟踪号",,
"Manage purchase tracking Nbr.","管理采购跟踪号",,
"Manage sale tracking Nbr.","管理销售跟踪号",,
"Manage stock location on stock move lines","管理移库行中的库存位置",,
"Manual","手动",,
"Manufacturing order","生产订单",,
"Map","地图",,
"Mass","质量",,
"Mass in kg","质量（千克）",,
"Mass move","质量移动",,
"Mass move enabled","启用质量移动",,
"Mass moves","质量移动",,
"Mass stock move","库存质量移动",,
"Mass stock move need","需要移动的产品",,
"Mass stock moves","库存质量移动",,
"Mass stock moves need","需要移动的产品",,
"Materials for construction contract","建筑合同材料",,
"Max stock","最大库存",,
"Max stock date","最大库存日期",,
"Max. Qty","最大数量",,
"Maximum iteration for looking tracking numbers parent has been reached. Please check any circular parent dependencies.","查找跟踪号父级的最大迭代次数已达到。请检查任何循环父级依赖关系。",,
"Merge stock moves","合并移库",,
"Merged","已合并",,
"Message template","消息模板",,
"Message template for stock rules","库存规则消息模板",,
"Metric weight","公制重量",,
"Metric weight in kg/m","公制重量（千克/米）",,
"Min stock","最小库存",,
"Min stock date","最小库存日期",,
"Min. Qty","最小数量",,
"Missing","缺失",,
"Missing logistical form sequence for company %s","公司%s缺少物流表单序列",,
"Mode of transport","运输方式",,
"Month","月份",,
"Move canceled","移动已取消",,
"Move created","移动已创建",,
"Move details","移动详情",,
"Move origin type","移动来源类型",,
"Move realized","移动已实现",,
"Moved qty is greater than current quantity (%s)","移动数量大于当前数量 (%s)",,
"Moved quantity is equal to 0 or less (%s)","移动数量等于 0 或更少 (%s)",,
"Moves Cancelled","移动已取消",,
"Moves History","移动历史",,
"Moves To Prepare","待准备的移动",,
"Must set mass unit in stock configuration for customs.","必须在库存配置中设置质量单位以供海关使用。",,
"Name","名称",,
"Nature of transaction","交易性质",,
"Nbr of incoming moves","入库数量",,
"Nbr of outgoing moves","出库数量",,
"Net mass","净质量",,
"No","否",,
"No Tracking Numbers Added","未添加跟踪号",,
"No dimension could be computed, please make sure that you have the necessary field to compute at least one field","无法计算任何尺寸，请确保您具有计算至少一个字段所需的字段。",,
"No economic area is configured for %s.","未为%s配置经济区域。",,
"No inventory lines has been created.","未创建任何库存行。",,
"No move lines to split","没有移库行可拆分",,
"No new stock move was generated","未生成新的移库",,
"No record found","未找到记录",,
"No reversion generated","未生成退货单。",,
"No stock correction needed, current quantity in stock equals real quantity.","不需要库存修正，当前库存数量等于实际数量。",,
"No stock location has been selected.","未选择库存位置。",,
"No stock moves found for this inventory.","未找到此库存的移库。",,
"Non temporary implying transfer of property without compensation","非临时交易涉及无补偿的财产转让",,
"Non-compliant","不符合",,
"Not invoiced","未开票",,
"Note","备注",,
"Notes","备注",,
"Number Of Packages","包裹数量",,
"Number Of Palettes","托盘数量",,
"Number of customer deliveries","客户交付数量",,
"Number of periods","期间数量",,
"Number of pieces","件数",,
"Old qty","旧数量",,
"OnTime Deliveries","准时交付",,
"Operation after custom work return to initial state","定制工作后返回初始状态的操作",,
"Operation after custom work return to other state","定制工作后返回其他状态的操作",,
"Operations for custom work non return","定制工作不返回的操作",,
"Operations for custom work return","定制工作返回的操作",,
"Origin","来源",,
"Origin inventory line","来源库存行",,
"Origin stock move","来源移库",,
"Origin stock move line","来源移库行",,
"Other expeditions","其他发货",,
"Other introductions","其他引入",,
"Other returns","其他退货",,
"Other transactions","其他交易",,
"Outgoing amount","出库金额",,
"Outgoing move","出库单",,
"Outgoing move information","出库单信息",,
"Outgoing move lines","出库单行",,
"Outgoing quantity","出库数量",,
"Outsourcing receipt stock location","外包收货库存位置",,
"Own propulsion","自有运输",,
"PFP authorized","PFP 已授权",,
"PFP litigation","PFP 诉讼",,
"Packing line","包装行",,
"Packing lines","包装行",,
"Pallet","托盘",,
"Pallet %d is empty.","托盘%d为空。",,
"Parcel","包裹",,
"Parcel %d is empty.","包裹%d为空。",,
"Parcel/pallet number","<span>包裹/托盘编号</span>",,
"Parent customs code","父海关代码",,
"Parent stock location","父库存位置",,
"Partial stock move (From","部分移库（从",,
"Partially available","部分可用",,
"Partially invoiced","部分开票",,
"Partner","合作伙伴",,
"Partner is missing.","合作伙伴缺失。",,
"Partner mismatch: %s","合作伙伴不匹配：%s",,
"Partner product quality rating","合作伙伴产品质量评级",,
"Partner product quality ratings","合作伙伴产品质量评级",,
"Partner stock settings","合作伙伴库存设置",,
"Period","期间",,
"Perishable","易腐",,
"Perishable expiration date","易腐产品过期日期",,
"Pick","拣货",,
"Pick all / the rest","拣货全部/剩余",,
"Pick products","拣货产品",,
"Picked","已拣货",,
"Picked product","已拣货产品",,
"Picked products","已拣货产品",,
"Picked qty","已拣货数量",,
"Picked qty / Qty to pick","已拣货数量/待拣货数量",,
"Picking order edit date","拣货单编辑日期",,
"Picking order has been edited for this stock move, it can not be canceled.","此移库已编辑拣货单，无法取消。",,
"Picking order is edited","拣货单已编辑",,
"Picking order printing detailed","拣货单详细打印",,
"Picking printed","拣货单已打印",,
"Picking stock move template","拣货单模板",,
"PickingStockMove.aspect","外观",,
"PickingStockMove.code","代码",,
"PickingStockMove.customerCode","客户代码",,
